categoryName,city,reviewsCount,stars,state,text,title,url
Iglesia,Argomedo,4,5.0,Burgos,"El padre de mi abuela materna llego a Chile, y nunca más regreso a España. Mi abuela comenta que se enviaban carta a una dirección Ordoñez, y el se llamaba José Jaca Larrea.",Iglesia de la Asunción de Nuestra Señora,https://www.google.com/maps/search/?api=1&query=Iglesia%20de%20la%20Asunci%C3%B3n%20de%20Nuestra%20Se%C3%B1ora&query_place_id=ChIJ9Z6Aj-nSSA0R6LxG8yxNKvg
Cantera,,1,1.0,Burgos,Es legal está instalación?,Cantera San Cibrian,https://www.google.com/maps/search/?api=1&query=Cantera%20San%20Cibrian&query_place_id=ChIJA4GE7VjNSA0RaQ17QPuYtk0
Iglesia,Quintanabaldo,5,5.0,Burgos,El pueblo más bonito.,Iglesia de Nuestra Señora de la Asunción,https://www.google.com/maps/search/?api=1&query=Iglesia%20de%20Nuestra%20Se%C3%B1ora%20de%20la%20Asunci%C3%B3n&query_place_id=ChIJu3FnNzktTw0RBmFRc_QBaKA
Fuente de agua potable,Argomedo,0,,Burgos,,Fuente agua potable,https://www.google.com/maps/search/?api=1&query=Fuente%20agua%20potable&query_place_id=ChIJpYCnZwDTSA0Rf3YcBj0pUaY
Lugar de interés histórico,Argomedo,5,5.0,Burgos,,Antigua lavandería,https://www.google.com/maps/search/?api=1&query=Antigua%20lavander%C3%ADa&query_place_id=ChIJqz4_IMDTSA0RwuePSjaZcaU
Oficina de gobierno local,San Martín de las Ollas,1,5.0,Burgos,"Construcción en el centro del pueblo, que consta de dos pisos:
En el bajo se encuentra el bar del pueblo, abierto solo durante fiestas populares.
En el primer piso se encuentra la antigua escuela del pueblo.",Casa Concejo de San Martin de las Ollas,https://www.google.com/maps/search/?api=1&query=Casa%20Concejo%20de%20San%20Martin%20de%20las%20Ollas&query_place_id=ChIJH3UUxNPSSA0RXb-9JUokOc4
Albergue,"Soncillo, Burgos",123,5.0,Burgos,"Fui cuando era pequeña con el colegio (en aquél entonces estaba en P.P.Escolapios Soria) y tengo unos recuerdos preciosos de esos días que pasé allí. Los juegos por el campo de enfrente, la ruta para ver unas cuevas, el día que pasamos visitando el pueblo, las historias que nos contaban en plena naturaleza justo antes de ir a dormir...fue la primera vez que salí de casa sin mis padres y siempre me ha llamado el volver aunque sea para verlo de pasada y recordar más cosas aún.",Albergue juvenil Soncillo,https://www.google.com/maps/search/?api=1&query=Albergue%20juvenil%20Soncillo&query_place_id=ChIJR00xl4TSSA0Rq5APtXUxb0Y
Proveedor de materiales de construcción,Soncillo,2,5.0,Burgos,Excelente s,Construcciones Sical Burgos Slu,https://www.google.com/maps/search/?api=1&query=Construcciones%20Sical%20Burgos%20Slu&query_place_id=ChIJdRRStonSSA0RU2k4a9InIL0
Servicio de taxis,Soncillo,13,5.0,Burgos,"Magnífico servicio. Persona encantadora y buen precio.
.",Taxi Carlos C Díez Ortiz Taxi en Soncillo,https://www.google.com/maps/search/?api=1&query=Taxi%20Carlos%20C%20D%C3%ADez%20Ortiz%20Taxi%20en%20Soncillo&query_place_id=ChIJc0tenmLSSA0Re9HqWZBKVmQ
Centro de salud,Soncillo,10,5.0,Burgos,,Centro Médico Soncillo. SACYL,https://www.google.com/maps/search/?api=1&query=Centro%20M%C3%A9dico%20Soncillo.%20SACYL&query_place_id=ChIJv-ZphWLSSA0Rna9RnDjTNkU
Casa rural,Quintanilla del Agua,105,1.0,Burgos,"Nos podemos tirar así toda la vida, (consejo, deja de utilizar palabros sin sentido que no por ello tienes más razón). Lo que es cierto es que antes de cancelar te preguntamos, faltaban 4 meses, nos dijiste que si encontrabas otro grupo nos lo devolvías, así fue y no lo has devuelto. Si hubiéramos sabido que no cumplirías tu palabra, hubiéramos ido, pues había tiempo suficiente. Puedes decir lo que quieres y hacerte la victima, pero lo que es cierto es que nos has engañado. Nos prometiste una cosa claramente que después no has cumplido. Además somos un grupo que llevamos 10 años yendo de casa rural por esas fechas y jamás, repito, jamás, hemos tenido ningún problema con nadie, así que háztelo mirar tu también. Consejo, haz lo que prometiste con tanta antelación y cumple tu palabra, pues tenias margen de maniobra suficiente. ahora has cobrado a los inquilinos que fueron ese finde + nuestra fianza., así que déjate de poesía y devuelve el dinero.",El Batán del Molino,https://www.google.com/maps/search/?api=1&query=El%20Bat%C3%A1n%20del%20Molino&query_place_id=ChIJkeZkGBLaRQ0R5e8ResnIZTk
Piscinas,Soncillo,34,5.0,Burgos,,Piscinas soncillo,https://www.google.com/maps/search/?api=1&query=Piscinas%20soncillo&query_place_id=ChIJ6YVFxL3TSA0R7JjxKPB-AnQ
Vivero,Quintanilla del Agua,1,5.0,Burgos,Casa rural y Batán. Recomendable.,El Molino Jardinería y Paisajismo S.L.,https://www.google.com/maps/search/?api=1&query=El%20Molino%20Jardiner%C3%ADa%20y%20Paisajismo%20S.L.&query_place_id=ChIJbSmprkLbRQ0RWsrJDIQ44gM
,Quintanilla del Agua,0,,Burgos,,Museo Etnografico,https://www.google.com/maps/search/?api=1&query=Museo%20Etnografico&query_place_id=ChIJGUKychLaRQ0RMSJ6ixefAco
Lugar de culto,Quintanilla del Agua,2,5.0,Burgos,Restos de la ermita de San Pedro la Villa. Buenas vistas y accesos. A unos 150 metros al este se sitúa la Fuente de San Pedro (romana).,Ermita de San Pedro la Villa (ruinas),https://www.google.com/maps/search/?api=1&query=Ermita%20de%20San%20Pedro%20la%20Villa%20(ruinas)&query_place_id=ChIJgfXmS93bRQ0RtDrUBD13x_I
Fotógrafo,San Roque18,1,5.0,Burgos,Una maravilla.Manuel es super profesional y un verdadero amante de la naturaleza y las aves.La experiencia de ver aves el libertad no tiene precio.Lo hemos pasado genial.Volveré seguro.,Ecoturismo Bauto,https://www.google.com/maps/search/?api=1&query=Ecoturismo%20Bauto&query_place_id=ChIJ4_6De8HbRQ0RXKlIQukHRfc
Museo,Quintanilla del Agua,4643,5.0,Burgos,,Territorio Artlanza,https://www.google.com/maps/search/?api=1&query=Territorio%20Artlanza&query_place_id=ChIJ5a_NERLaRQ0RmLj_UkBTo8I
Puente,Sotragero,6,5.0,Burgos,,Puente Hierro Sotragero,https://www.google.com/maps/search/?api=1&query=Puente%20Hierro%20Sotragero&query_place_id=ChIJ3-JsVNP9RQ0RWqMcC81j2KU
Vivero,Quintanadueñas,5,5.0,Burgos,,Viveros Aspanias,https://www.google.com/maps/search/?api=1&query=Viveros%20Aspanias&query_place_id=ChIJ-bmc25f9RQ0RBvj3NeG-BjU
