Place ID,Latitude,Longitude
ChIJbSnnUgD9RQ0RyiulK8n433w,42.3357089,-3.7017197
ChIJw9BDROsjTw0RpCZgy2i3qKs,43.0229503,-3.507536
ChIJoeHDetX8RQ0RuYMcZV6lkcg,42.3361538,-3.7018726
ChIJL5VXai7uRQ0RFaBBYIHKpRY,42.3313108,-3.5355914
ChIJL5VXai7uRQ0RFaBBYIHKpRY,42.3313165,-3.5356289
ChIJk0ZuMwAPRg0R4Ke3EUgg6jk,42.3074811,-3.9076491
ChIJ4xnegX_9RQ0RjNv8eNDSiWw,42.3352995,-3.7120029
ChIJcSYgbAD9RQ0RhAC-IQR0wUc,42.3612135,-3.678673
ChIJe0SLNyn9RQ0RDTVs7y-VO84,42.3397331,-3.7063929
ChIJ4xnegX_9RQ0RjNv8eNDSiWw,42.3352992,-3.712078
ChIJVVXln2EkTw0RxLLmHX_CCrY,43.0229503,-3.507536
ChIJVyYlP9X8RQ0RwY2F6MIc7_A,42.3357089,-3.7017197
ChIJAcRdLqT8RQ0RPl1foaxICjI,42.3361538,-3.7018726
ChIJiTZuHS_vRQ0RfoI3Bx1L6SU,42.3313108,-3.5355914
ChIJiTZuHS_vRQ0RfoI3Bx1L6SU,42.3313165,-3.5356289
ChIJR0sWZwkQRg0R93hjjJeEZ2g,42.3074811,-3.9076491
ChIJg38UMV79RQ0RpNIj3neHcbY,42.3352995,-3.7120029
ChIJUUDXSMv9RQ0RDq3qFHh89dE,42.3397331,-3.7063929
ChIJmwJbvJP8RQ0RimhexvMNKNU,42.3612135,-3.678673
ChIJg38UMV79RQ0RpNIj3neHcbY,42.3352992,-3.712078
ChIJEy1zSOojTw0RoyymRTZVpbI,43.0229503,-3.507536
ChIJ6wrK7Nr8RQ0RvuleCtTfvhc,42.3357089,-3.7017197
ChIJ194xDdbvRQ0R_bbURm4C63Q,42.3313108,-3.5355914
ChIJN3ykF5rvRQ0RyiGPsBuOmzI,42.3313165,-3.5356289
ChIJ042KRKD9RQ0RKkp9GXlEqr4,42.3361538,-3.7018726
ChIJOTwzALkPRg0R2pzNYOOe3XA,42.3074811,-3.9076491
ChIJbbDAYwD9RQ0R5abKCveuCqA,42.3352995,-3.7120029
ChIJ2VfXcrz9RQ0R2RE80jU2MiE,42.3397331,-3.7063929
ChIJnQAI4_f9RQ0R09H_m8vd8Sg,42.3612135,-3.678673
ChIJbbDAYwD9RQ0R5abKCveuCqA,42.3352992,-3.712078
ChIJT0xE2MUjTw0RfND8RsvudEQ,43.0229503,-3.507536
ChIJKRtuZC7uRQ0RnSw15SyHHRM,42.3313108,-3.5355914
ChIJq6qa_irjRQ0RpKp5h0vIfcw,42.3357089,-3.7017197
ChIJKRtuZC7uRQ0RnSw15SyHHRM,42.3313165,-3.5356289
ChIJnS_VKQD9RQ0RwBGktx7caRo,42.3361538,-3.7018726
ChIJC0bJFwAPRg0RYfIHzYST1zU,42.3074811,-3.9076491
ChIJhx2XPvrjRQ0R76yUnTNFjoA,42.3352995,-3.7120029
ChIJ3QXIXin9RQ0RE2-G_92YgV8,42.3397331,-3.7063929
ChIJYf-L4d39RQ0RpJnBMqHfOUo,42.3612135,-3.678673
ChIJp_TOZAAPRg0RyPcjCCfTffk,42.3074811,-3.9076491
ChIJgaUZC1P9RQ0RG0LXewLThJw,42.3352992,-3.712078
ChIJ5zK8OwD9RQ0RTq3uDHQJkAo,42.3357089,-3.7017197
ChIJ8eOezi3uRQ0Rcpz_enj7j0A,42.3313165,-3.5356289
ChIJ8eOezi3uRQ0Rcpz_enj7j0A,42.3313108,-3.5355914
