ChIJtyADuQ39RQ0RmC0CEiuGBNk,"{'text': 'Hostal Peregrinos', 'languageCode': 'en'}",No attribution available,Burgos
ChIJV_A_tWL9RQ0RxfC5269P7rg,"{'text': 'Hostel Catedral Burgos', 'languageCode': 'es'}",No attribution available,Burgos
ChIJxX_vQXX9RQ0RaKy4mp5SJFc,"{'text': 'Pensión Boreal Calima', 'languageCode': 'es'}",No attribution available,Burgos
ChIJVaHHTAj9RQ0RiV5sbn1wNWY,"{'text': 'Albergue Municipal de Peregrinos de Burgos', 'languageCode': 'es'}",No attribution available,Burgos
ChIJBx_jupf8RQ0R11PxkpXFyaQ,"{'text': 'Hostal Averroes', 'languageCode': 'es'}",No attribution available,Burgos
ChIJ5cvPLtb9RQ0RWlQuFGRBqbE,"{'text': 'EscriHouse', 'languageCode': 'es'}",No attribution available,Burgos
ChIJE1JElJf9RQ0RAnlI7W7B5Mk,"{'text': 'Costalago', 'languageCode': 'es'}",No attribution available,Burgos
ChIJ_zSVrtX8RQ0RKx4xHViatB0,"{'text': 'Eurekasa Inmobiliaria', 'languageCode': 'es'}",No attribution available,Burgos
ChIJaWUQQtr8RQ0RhiNGt_AnEmc,"{'text': 'Casablanca Inmobiliaria', 'languageCode': 'es'}",No attribution available,Burgos
ChIJKeJ5xUL9RQ0RZyTSIwjqn8g,"{'text': 'Liverso Inmobiliaria Burgos', 'languageCode': 'es'}",No attribution available,Burgos
ChIJh8JuPA79RQ0RgVzu5-aqM6c,"{'text': 'Alojamientos Doña Urraca - Pensión Boutique', 'languageCode': 'es'}",No attribution available,Burgos
ChIJ-60dU7v8RQ0REEnslLLbGOY,"{'text': 'Pensión Santiago', 'languageCode': 'es'}",No attribution available,Burgos
ChIJu89yf8j8RQ0RpabURWurJUg,"{'text': 'Crisol Puerta de Burgos', 'languageCode': 'es'}",No attribution available,Burgos
ChIJ4zgnGir9RQ0RqwppSyuxLsA,"{'text': 'Hotel NH Collection Palacio de Burgos', 'languageCode': 'es'}",No attribution available,Burgos
ChIJedpV0Br9RQ0RmDT_pud5AhQ,"{'text': 'Hotel Las Terrazas', 'languageCode': 'es'}",No attribution available,Burgos
ChIJ_bPyF9H8RQ0RH5putgRwB_M,"{'text': 'Hotel Silken Gran Teatro', 'languageCode': 'es'}",No attribution available,Burgos
ChIJp33jr6f9RQ0RBuoZbgOx72M,"{'text': 'Hotel Boreal Viento Norte', 'languageCode': 'es'}",No attribution available,Burgos
ChIJL7eNKSr9RQ0R3EioBr-1j9w,"{'text': 'AC Hotel Burgos', 'languageCode': 'es'}",No attribution available,Burgos
ChIJ4cXdWtX8RQ0R3DoPneIUiX4,"{'text': 'Hotel Bulevar', 'languageCode': 'es'}",No attribution available,Burgos
ChIJJ_4M3i79RQ0RpmML5e9vKJ0,"{'text': 'Abba Burgos Hotel', 'languageCode': 'es'}",No attribution available,Burgos
ChIJFXiKy8T8RQ0ROJcofPWolQ8,"{'text': 'Hotel Rice Reyes Católicos', 'languageCode': 'es'}",No attribution available,Burgos
ChIJHQUbHCj9RQ0R8qLSie3C7UQ,"{'text': 'Hotel Rice Palacio de los Blasones', 'languageCode': 'es'}",No attribution available,Burgos
ChIJDZWBgdH8RQ0RWRMpHjLvMZA,"{'text': 'Hotel Boutique Museo', 'languageCode': 'es'}",No attribution available,Burgos
ChIJccdLH6P8RQ0Rfj6wTknHjoI,"{'text': 'Hostal Hilton', 'languageCode': 'es'}",No attribution available,Burgos
ChIJocfDIdH8RQ0Rh7MQ3tq6B3E,"{'text': 'Crisol Almirante Bonifaz', 'languageCode': 'es'}",No attribution available,Burgos
ChIJh0nAcSn9RQ0Rfa1P4_XJ6Tg,"{'text': 'Crisol Mesón del Cid', 'languageCode': 'es'}",No attribution available,Burgos
ChIJy9Q6LNf8RQ0RsKOgfA1Gu8Q,"{'text': 'Hotel Cuéntame La Puebla', 'languageCode': 'es'}",No attribution available,Burgos
ChIJ242-ANX8RQ0RWacZnWocRuQ,"{'text': 'Hotel Corona de Castilla Burgos', 'languageCode': 'es'}",No attribution available,Burgos
ChIJD1JwN9T8RQ0RP3whdAiDMmQ,"{'text': 'Urban Burgos', 'languageCode': 'es'}",No attribution available,Burgos
ChIJS7WCjdP8RQ0RzJtMhU8TaWM,"{'text': 'Hotel Forum Evolución', 'languageCode': 'es'}",No attribution available,Burgos
ChIJPfk6H7b8RQ0RDZ2iLNNA3ZQ,"{'text': 'Hotel Alda Cardeña', 'languageCode': 'es'}",No attribution available,Burgos
ChIJtZMzFC79RQ0R3w9iCFMfIdQ,"{'text': 'Hotel María Luisa', 'languageCode': 'es'}",No attribution available,Burgos
ChIJdy7tDND8RQ0RSITD6epqgYU,"{'text': 'Charlotte Burgos', 'languageCode': 'es'}",No attribution available,Burgos
ChIJt1XZnyX9RQ0RFN-QsRgVdMs,"{'text': 'Cafe del Grillo', 'languageCode': 'es'}",No attribution available,Burgos
ChIJV3WKkqP8RQ0RbWRoF6L68fM,"{'text': 'Belle Epoque', 'languageCode': 'es'}",No attribution available,Burgos
ChIJ1VkhJ9r8RQ0RKWoMhZSHNl4,"{'text': 'Café Tapa', 'languageCode': 'es'}",No attribution available,Burgos
ChIJzYNd9JP8RQ0RjF3QuMqxLxs,"{'text': 'Cafetería Rudi', 'languageCode': 'es'}",No attribution available,Burgos
ChIJ2X9fZ7j8RQ0RKRwiHdTBLGI,"{'text': 'En Ascuas', 'languageCode': 'en'}",No attribution available,Burgos
